Session_ID,Provider_ID,Start_Date,End_Date,Booking_Type,Program,Hours,Cost,Availability,Registration_Opens,Location,Registration_URL,Source_URL,Notes,Last_Checked
schoolhouse-2026-09-18-131,schoolhouse,2026-09-18,2026-09-18,single-day,September 18 Discovery Day,9 am–5 pm,$99.00 per session,Published date; check seats,,"West Point on the Eno, EE Pavilion, 5253 N Roxboro St, Durham",https://app.amilia.com/store/en/schoolhouse-of-wonder/shop/activities/6933262,https://schoolhouseofwonder.org/camp-finder/september-18-discovery-day/,,2026-09-12
boulder-2026-09-21-136,boulder,2026-09-21,2026-09-21,single-day,Holiday Camp,Drop-off 8–9 am; pickup 3–4 pm,$95 camper member / $115 guest per day,Published date; check seats,,"328 Roney St, Durham",https://climber.hellocapitan.com/thebouldergarden/schedule/event/1321110/select-num-participants/,https://climber.hellocapitan.com/thebouldergarden/schedule/event-type-details/3046/,,2026-09-12
dac-2026-09-21-96,dac,2026-09-21,2026-09-21,single-day,School Break Arts Camp,9 am–3 pm; drop-off from 8 am,$60 per day,Published date; check seats,2026-07-24,"120 Morris St, Durham",https://secure.rec1.com/NC/durham-arts-council-nc/catalog,https://durhamarts.org/dac-art-camps/,,2026-09-12
dac-2026-09-21-95,dac,2026-09-21,2026-09-25,multi-day,School Break Arts Camp,9 am–3 pm; drop-off from 8 am,$275 per week; $250 additional sibling,Published date; check seats,2026-07-24,"120 Morris St, Durham",https://secure.rec1.com/NC/durham-arts-council-nc/catalog,https://durhamarts.org/dac-art-camps/,Whole session booking; no individual-day option published.,2026-09-12
dpr-2026-09-21-113,dpr,2026-09-21,2026-09-21,single-day,Fun Day,7:30 am–6 pm,City resident: $23.50 with Play More card / $26 without; non-city: $37 / $41,Published date; check seats,,"W.D. Hill Recreation Center, Durham",https://anc.apm.activecommunities.com/dprplaymore/daycare/program/1078?onlineSiteId=0&locale=en-US&from_original_cui=true&online=true,https://www.dprplaymore.org/362/Fun-Days,,2026-09-12
ninja-2026-09-21-153,ninja,2026-09-21,2026-09-21,single-day,One Day Ninja Camp,8:30 am–3:30 pm,$75 per day,Listed open at last check,,"1810 Martin Luther King Jr Pkwy, Suite A, Durham",https://portal.iclasspro.com/usaninjadurham/camp-details/131?typeId=2&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=One%20Day%20Camp&campTypeNamePlural=One%20Day%20Camps,https://usaninjachallenge.com/locations/durham-nc/camps,,2026-09-12
pwc-2026-09-21-58,pwc,2026-09-21,2026-09-21,single-day,Durham Wild For a Day - 9/21,9 am–3 pm; drop-off 8:30–9 am; pickup 2:45–3 pm,$80 per day,Waitlist at last check,,"Leigh Farm Park, 364 Leigh Farm Rd, Durham",https://www.ultracamp.com/clientlogin.aspx?idCamp=1403&campcode=Pwc&lang=en-Us&return=registration/selectattendees.aspx?idsession=581799,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=1403&idSession=581799&campCode=Pwc,,2026-09-12
pwc-2026-09-21-52,pwc,2026-09-21,2026-09-25,multi-day,Durham Intersession - Animal Detectives,9 am–3 pm; drop-off 8:30–9 am; pickup 2:45–3 pm,$385 per week,Waitlist at last check,,"Leigh Farm Park, 364 Leigh Farm Rd, Durham",https://www.ultracamp.com/clientlogin.aspx?idCamp=1403&campcode=Pwc&lang=en-Us&return=registration/selectattendees.aspx?idsession=583240,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=1403&idSession=583240&campCode=Pwc,,2026-09-12
schoolhouse-2026-09-21-133,schoolhouse,2026-09-21,2026-09-21,single-day,September 21 Discovery Day,9 am–5 pm,$99.00 per session,Published date; check seats,,"West Point on the Eno, EE Pavilion, 5253 N Roxboro St, Durham",https://app.amilia.com/store/en/schoolhouse-of-wonder/shop/activities/6933275,https://schoolhouseofwonder.org/camp-finder/september-21-discovery-day/,,2026-09-12
schoolhouse-2026-09-21-132,schoolhouse,2026-09-21,2026-09-25,multi-day,September 21-25: Mud Makers,9 am–5 pm,$459.00 per session,Published date; check seats,,"West Point on the Eno, EE Pavilion, 5253 N Roxboro St, Durham",https://app.amilia.com/store/en/schoolhouse-of-wonder/shop/activities/6933086,https://schoolhouseofwonder.org/camp-finder/september-21-25-mud-makers/,Whole session booking.,2026-09-12
